artist,genre
VOF_de_Kunst,nederpop
Eubie_Blake,ragtime
"Wilson,Jackie",northern soul
The_Escape_Club,Unknown
Morricone_Ennio,soundtrack
Honey_Cone,northern soul
The_Four_Aces,doo-wop
Vaughn,experimental hip hop
Cocciante,italian singer-songwriter
Mr._Mister,Unknown
Julian_Lennon,Unknown
Del_Shannon,doo-wop
Dick_Hyman,ragtime
Thompson_Twins,new wave
LIGABUE,italian singer-songwriter
Al_Stewart,Unknown
Billie_Myers,Unknown
The_Brian_Setzer_Orchestra,rockabilly
Metallica,metal
Travis_Tritt,country
Johnny_Logan,Unknown
Traffic,psychedelic rock
Peter_Gabriel,art rock
Inner_City,acid house
Ted_Nugent,classic rock
Christie_Lou,doo-wop
Gerry_Rafferty,Unknown
Alunni_del_Sole,canzone napoletana
The_Easybeats,proto-punk
EMF,Unknown
Carly_Simon,Unknown
Valens_Ritchie,doo-wop
Wendy_Moten,smooth jazz
Chesney_Hawkes,Unknown
Mo-Do,post-punk
Weather_Report,jazz fusion
Sheb_Wooley,Unknown
Haggard._Merle,country
U96,eurodance
Air_Supply,soft rock
Battisti_Lucio,italian singer-songwriter
Jones,Unknown
Ron,Unknown
Don_Henley,Unknown
The_Verve_Pipe,post-grunge
Blackstreet,new jack swing
Westbam,happy hardcore
R._Kelly,r&b
Bertie_Higgins,soft rock
Traveling_Wilburys,Unknown
Gianni_Bella,Unknown
Irene_Cara,Unknown
Master_P,southern hip hop
Amanda_McBroom,Unknown
The_Lemon_Pipers,psychedelic rock
Renato_Teixeira,sertanejo tradicional
The_Lemonheads,power pop
Sonny_and_Cher,Unknown
Swing_Out_Sister,Unknown
The_Soul_Survivors,philly soul
Ellington,jazz
U.S.A._for_Africa,Unknown
Randy_Newman,Unknown
En_Vogue,new jack swing
Mandy_Moore,Unknown
Melina_Mercouri,entehno
The_Folk_Implosion,Unknown
Dan_Fogelberg,soft rock
Power_Tools,Unknown
Jigsaw,Unknown
DJ_Jazzy_Jeff,Unknown
k.d._lang,Unknown
Scatman,eurodance
Iron_Butterfly,acid rock
DJ_BoBo,eurodance
Was_Not_Was_,Unknown
Blue_Oyster_Cult,classic rock
John_Scofield,jazz fusion
Hugues_Aufray,chanson
Clarence_Frogman_Henry,doo-wop
MAMAS_and_Papas,folk rock
Trovato,italian singer-songwriter
Baxter,Unknown
Peter_Tosh,reggae
